ra,dec,specobjID,objID,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petroR90_z,petroR50_z,fibermag_u,stellarmass,redshift
156.38035,51.676354,1135060533385390080,1237657590852681764,16.214804,15.823084,15.474113,15.182195,14.991309,3.916783,1.234341,16.545982,10.42347,0.044586
241.73349,37.321613,1187848087540885504,1237659131681505473,17.283583,16.064039,15.480412,15.158018,14.916562,10.098079,5.145932,19.696148,10.270798,0.041125
189.65876,45.570687,1544860617641322496,1237661852007727118,17.649967,15.818238,15.062507,14.594315,14.261168,7.9715,2.294977,19.270897,10.73066,0.040521
162.30687,23.13943,2793434428364318720,1237667550344118390,18.797047,17.529736,16.87167,16.522482,16.293648,5.008144,1.885605,20.151863,9.819996,0.045621
192.67685,-2.8254005,379489050127525888,1237650761322332240,16.670731,15.500019,14.835012,14.428813,14.156306,10.547435,4.145164,18.197546,10.843254,0.047116
139.80495,55.465282,507838614357436416,1237651190286909522,17.973553,16.521246,16.242861,15.749653,15.462448,3.887968,1.415371,18.88106,10.163695,0.048943
120.68083,31.067593,1194611731305883648,1237657776610279484,17.197855,16.169195,15.531645,15.143085,14.876052,5.414355,1.977425,18.162216,10.422909,0.041004
143.36614,9.5333562,1468286503556769792,1237660670349738024,17.38151,16.13452,15.539127,15.173496,14.911801,7.906668,2.902324,19.667768,10.425986,0.049791
239.38808,8.5119297,1945624637291390976,1237661951351718065,17.756641,17.171812,16.73456,16.350445,16.187891,2.879426,1.138383,18.311417,9.952645,0.046639
239.10794,9.0551763,1943477564433524736,1237662534360957178,16.226191,15.091068,14.431348,14.035032,13.758486,13.57266,5.057574,17.429344,10.921965,0.04249
205.29644,30.378149,2357763662153803776,1237665226239311902,16.207552,14.622902,13.882402,13.475926,13.200835,13.895671,3.925273,18.235594,11.077053,0.040391
123.8203,46.075269,496598306315593728,1237651191354687536,16.310598,15.079708,14.461141,14.063925,13.763923,12.897508,4.37046,17.417877,10.915874,0.041023
160.86031,11.090075,1802651015267248128,1237660669820403794,16.842701,16.594526,16.521931,16.075096,16.079832,2.459735,0.895562,17.250746,9.832205,0.047528
170.67809,41.73208,1621436655082694656,1237661967425470610,19.843346,18.417631,17.64097,17.22496,16.936844,3.017084,1.219318,20.640728,9.726568,0.04451
232.94541,6.3827747,2048021902319970304,1237662263250911338,17.277445,15.852725,15.096397,14.689786,14.386236,9.178592,3.032963,18.827726,10.658076,0.042034
154.3261,29.242819,2643781269577558016,1237667113338601477,16.159161,15.346935,14.882578,14.527558,14.337173,8.023845,3.212824,17.273783,10.699162,0.048958
118.4142,13.433902,2549099573272406016,1237667212112364184,18.191992,16.538286,15.733862,15.261672,14.944451,6.456781,2.49528,20.057751,10.644717,0.04785
119.70954,9.5891018,2723650075506010112,1237667782270058578,17.550587,15.898681,15.102305,14.681699,14.370338,12.468742,3.329282,19.145544,10.775897,0.045799
32.547897,-9.0598701,751114362374088704,1237670956254887979,16.071312,14.672043,14.1005,13.714546,13.408488,13.783509,5.375046,18.309225,10.965788,0.041575
127.17806,45.742576,617137768048388096,1237653587947815102,17.517252,16.329624,15.654266,15.246912,14.974669,10.040341,3.462342,19.506992,10.562145,0.049037
217.07495,57.171803,889539857318176768,1237655463239155886,15.647503,14.510548,13.922282,13.616343,13.169815,95.710953,39.350239,18.46727,10.70365,0.042797
218.29395,52.975145,1494172852008544256,1237661387606196390,19.70813,17.687969,16.872223,16.421553,16.129953,5.906768,2.521052,21.20999,10.14371,0.047589
254.00669,21.211431,1593185250224138240,1237661464384962637,18.368652,16.966047,16.262049,15.725271,15.343285,4.382121,1.49304,19.643919,10.709991,0.04921
147.74458,37.966353,1437845420804958208,1237661850383220889,17.837875,16.191051,15.333027,14.845911,14.434083,20.46904,6.898865,20.618088,10.81341,0.040526
141.91989,26.450304,2184272814066919424,1237665097389441032,17.754251,16.374079,15.752369,15.392792,15.122401,7.146326,2.895447,19.727131,10.371747,0.048574
153.01084,30.217512,2198904839512025088,1237665097393963129,17.278774,16.467838,15.886157,15.513611,15.277163,5.716968,1.902705,18.079241,10.437465,0.049827
147.21902,28.894017,2192193146882910208,1237665097928605705,16.895864,15.802456,15.128443,14.740377,14.458245,10.952122,3.871877,18.402561,10.817857,0.046905
223.28303,25.909188,2415105398622152704,1237665178987921464,17.666481,16.637085,15.950741,15.490371,15.232753,4.62551,1.581167,18.35301,10.582827,0.048474
201.8797,24.778065,2999572250077718528,1237667448347164716,17.449429,15.959132,15.166018,14.739313,14.475774,8.881072,2.759535,18.973383,10.707418,0.044278
351.84151,15.410362,840033793115973632,1237652944245620778,16.762022,15.219858,14.336885,13.85103,13.555714,11.99033,3.122487,18.095749,11.224029,0.045967
10.65359,-10.822742,737480418172889088,1237652946382749732,16.942604,16.030918,15.480264,15.097867,14.839543,5.146883,1.613995,17.748686,10.461951,0.041995
171.36049,2.3441827,575343417836464128,1237654029791592613,17.838709,16.633156,15.915985,15.556817,15.243918,8.945387,3.210082,19.212332,10.438549,0.048698
123.21864,38.639966,854586104655931392,1237654652025569470,18.463207,17.019209,16.303288,15.940743,15.624939,9.449068,4.085657,20.502411,10.075156,0.040287
145.86975,52.803211,864721678171662336,1237654652034809954,17.744028,16.28211,15.616813,15.267375,14.990969,9.291581,3.76566,20.243858,10.421308,0.047257
160.01127,49.551282,985205064056465408,1237657856604307598,17.104876,15.371033,14.640212,14.212081,13.892795,12.911439,4.484211,19.776806,10.951123,0.044937
225.79864,11.174267,1932059697511163904,1237662529534296241,17.471487,16.561903,15.917094,15.52061,15.253679,7.07209,2.419718,18.32959,10.486935,0.04284
244.68688,25.652139,1772262718955350016,1237662640122626057,16.359482,15.170903,14.398367,13.965028,13.672029,15.899288,6.887408,17.777157,11.067125,0.048078
166.72692,6.2036239,1130484091381114880,1237658422483026028,18.282137,17.029951,16.268318,15.888723,15.640657,10.943311,2.816285,19.546553,10.209134,0.043357
129.58839,24.176831,2174199362991712256,1237664837001412613,17.172585,16.157627,15.517097,15.140569,14.860403,10.552029,4.021462,18.212631,10.536294,0.043013
148.08375,32.474123,2189877574656616448,1237664870825984065,17.704514,16.196035,15.436665,15.044353,14.760262,7.661945,2.737636,19.195019,10.561914,0.043126
248.23959,11.844494,2852023837967542272,1237665566084890924,17.339363,16.447384,15.842165,15.448892,15.133208,8.199292,3.86105,18.67778,10.467862,0.046371
120.8641,8.6978608,2723574758959507456,1237671262266917178,17.48774,15.83786,15.041326,14.615213,14.320308,10.816278,3.660261,19.153879,10.858653,0.046736
176.1378,61.533523,873716233680218112,1237653616937599122,16.934116,15.347713,14.656688,14.269855,13.989847,14.464504,4.387091,19.234514,10.882676,0.047992
